age,age_onset,filename,native_language,sex,speakerid,country
27,9,afrikaans1,afrikaans,female,1,south africa
40,5,afrikaans2,afrikaans,male,2,south africa
43,4,afrikaans3,afrikaans,male,418,south africa
26,8,afrikaans4,afrikaans,male,1159,south africa
19,6,afrikaans5,afrikaans,male,1432,south africa
25,15,agni1,agni,male,3,ivory coast
41,5,akan1,akan,male,979,ghana
19,6,albanian1,albanian,male,4,kosovo
33,15,albanian2,albanian,male,5,albania
44,35,albanian3,albanian,male,458,albania
33,28,albanian4,albanian,male,868,kosovo
31,11,albanian5,albanian,male,946,albania
25,11,albanian6,albanian,female,1081,kosovo
45,11,albanian7,albanian,female,1403,kosovo
43,9,albanian8,albanian,female,1404,kosovo
22,6,albanian9,albanian,female,1706,albania
37,32,amazigh1,amazigh,male,601,morocco
39,16,amazigh2,amazigh,male,1498,morocco
20,5,amharic1,amharic,female,6,ethiopia
29,19,amharic10,amharic,female,998,ethiopia
24,17,amharic11,amharic,female,1129,ethiopia
26,15,amharic12,amharic,female,1130,ethiopia
28,6,amharic13,amharic,female,1131,ethiopia
31,12,amharic14,amharic,male,1515,ethiopia
23,6,amharic15,amharic,male,1516,ethiopia
36,11,amharic16,amharic,male,1854,ethiopia
21,9,amharic17,amharic,male,1906,ethiopia
20,2,amharic18,amharic,female,2017,ethiopia
19,10,amharic19,amharic,female,2132,ethiopia
23,7,amharic2,amharic,male,7,ethiopia
52,24,amharic20,amharic,female,2135,ethiopia
27,8,amharic3,amharic,male,8,ethiopia
20,7,amharic4,amharic,male,9,ethiopia
31,7,amharic5,amharic,male,10,ethiopia
31,4,amharic6,amharic,female,985,ethiopia
38,13,amharic7,amharic,male,989,ethiopia
30,12,amharic8,amharic,female,990,ethiopia
40,12,amharic9,amharic,male,991,ethiopia
38,12,arabic1,arabic,female,11,saudi arabia
26,5,arabic10,arabic,male,12,egypt
40,10,arabic100,arabic,female,2159,lebanon
21,10,arabic101,arabic,male,2160,qatar
22,3,arabic102,arabic,male,2161,saudi arabia
30,14,arabic11,arabic,female,13,tunisia
32,11,arabic12,arabic,male,14,iraq
25,15,arabic13,arabic,male,15,lebanon
47,11,arabic14,arabic,male,428,jordan
40,33,arabic15,arabic,male,437,tunisia
22,16,arabic16,arabic,male,471,morocco
35,15,arabic17,arabic,male,512,morocco
18,6,arabic18,arabic,male,539,kuwait
43,18,arabic19,arabic,male,625,morocco
18,2.5,arabic2,arabic,male,16,syria
36,12,arabic20,arabic,male,643,lebanon
46,30,arabic21,arabic,female,670,lebanon
23,10,arabic22,arabic,female,920,united arab emirates
42,13,arabic23,arabic,male,927,egypt
